HEMISPHERE,COMPONENT,THEIL_SEN_MM_3H_PER_DECADE,MANN_KENDALL_P
NH,TOTAL,0.1780014590308204,0.036290965357690864
NH,REDISTRIBUTION,0.04876532414931343,0.006513664827890087
NH,WITHIN_BAND,0.13430353593561048,0.07022557415054824
NH,INTERACTION,0.010720843680038433,0.15383630866989784
