hemisphere,band_idx,band_label,climatological_mean,pooled_median,n_events
NH,0,0-15,17.898489907701958,16.629938424906193,59070
NH,1,15-25,20.250894643886539,19.795733098184087,73758
NH,2,25-35,21.646650377824315,20.997534494190454,27262
NH,3,35-90,16.545918912887732,16.10841332580463,13876
SH,0,0-10,16.717519147786319,16.017042177361212,7806
SH,1,10-15,17.738767659921542,16.9869060475162,26941
SH,2,15-20,20.373725539890827,19.513111413043479,25051
SH,3,20-90,20.59144073064979,20.160386540600669,22007
