HEMISPHERE,COMPONENT,THEIL_SEN_MM_3H_PER_DECADE,MANN_KENDALL_P,CI_LOWER_MM_3H_PER_DECADE,CI_UPPER_MM_3H_PER_DECADE,bootstrap_significant
NH,TOTAL,0.1780014590308204,0.036290965357690802,-0.0664501887690198,0.41618220461165017,False
NH,REDISTRIBUTION,0.048765324149313401,0.0065136648278900002,0.015972526871455901,0.082610455040136699,True
NH,WITHIN_BAND,0.1343035359356104,0.070225574150548198,-0.071066567441612397,0.34848665880409713,False
NH,INTERACTION,0.0107208436800384,0.15383630866989781,-4.5609111260483685e-05,0.021256567814163602,False
SH,TOTAL,0.25306106443459919,0.0082949469109752007,-0.0263180611431326,0.55684304064449686,False
SH,REDISTRIBUTION,0.039206138679263203,0.087393481129802497,-0.016069440820540602,0.098043529755055994,False
SH,WITHIN_BAND,0.2148727020775536,0.025400811472118701,-0.046627970460593297,0.49945620418570669,False
SH,INTERACTION,-0.0039564054075089004,0.51090636366669595,-0.0203614958070036,0.012850712195853899,False
