HEMISPHERE,COMPONENT,THEIL_SEN_MM_3H_PER_DECADE,MANN_KENDALL_P
SH,TOTAL,0.25306106443459925,0.008294946910975274
SH,REDISTRIBUTION,0.03920613867926321,0.08739348112980251
SH,WITHIN_BAND,0.21487270207755368,0.025400811472118725
SH,INTERACTION,-0.003956405407508943,0.510906363666696
