domain,hemisphere,band_idx,band_label,mig_point,mig_ci_low,mig_ci_high,int_point,int_ci_low,int_ci_high,resid_point,resid_ci_low,resid_ci_high,tot_point,tot_ci_low,tot_ci_high
NH,NH,0,0-15,-0.4481896814801668,-0.66151951570364209,-0.21772480324735549,0.1422419789827,-0.022961049953663298,0.24992485085449909,-0.019947303505217399,-0.055515318400226998,0.0526033194693655,-0.32589500600268428,-0.50895754173935503,-0.15145797424653429
NH,NH,1,15-25,0.18512318036308559,-0.055798445271092303,0.38020275612197563,-0.0100307218605418,-0.12057453083818979,0.083048253488141099,-0.026874990683169099,-0.059020976440747601,0.053010520964919802,0.14821746781937459,-0.118762390433785,0.41450079810012269
NH,NH,2,25-35,0.22830401886602669,0.027342080767354601,0.41359691106229762,0.0049735057040206001,-0.044334869753144997,0.025549858294338701,-0.0109579925723705,-0.020774232974279001,0.0307656643163799,0.22231953199767679,0.018040207236799,0.40821319233489878
NH,NH,3,35-90,0.12957164663944579,0.030560634197453199,0.17274205032929299,0.00068426876528689996,-0.012041212689380699,0.0269618504170583,0.0087376883195406999,-0.0129071280073236,0.0153838831294067,0.1389936037242735,0.033396777052597401,0.19241088127783429
SH,SH,0,0-10,-0.0204351180065626,-0.18882558935064689,0.18415740213999629,0.022526891623418699,-0.045056709631144401,0.049552202611676303,-0.0064567326009306002,-0.031446387703960701,0.031300825663224001,-0.0043649589840743996,-0.19392146076019751,0.1942808963579043
SH,SH,1,10-15,-0.23301958164501549,-0.49210394922645839,-0.090624600961311405,0.124603076927554,0.080930136772774094,0.32547295106591478,0.046457196375073603,-0.069137500970358506,0.054101678713971098,-0.061959308342387699,-0.32865954872628622,0.1241787853537859
SH,SH,2,15-20,0.15774302471508289,-0.077350773721222801,0.32888991055447619,0.1029784684696381,-0.0077807317535785996,0.210433060910028,-0.027786153541047701,-0.0474008315154043,0.048541830369711603,0.2329353396436733,0.0080927186568692001,0.44179652920893531
SH,SH,3,20-90,0.1825308073793335,-0.079368271404481494,0.44299664011391049,-0.017879741960292999,-0.10483730134007049,-0.020148251422629,-0.034364653142820299,-0.039999903936160097,0.049435393133342997,0.13028641227622009,-0.13639983506374209,0.38627342528831171
