COMPONENT,CI_LOWER_MM_3H_PER_DECADE,CI_UPPER_MM_3H_PER_DECADE,HEMISPHERE
ANNUAL_MEAN,-0.026318061143132693,0.5568430406444969,SH
REDISTRIBUTION,-0.016069440820540685,0.098043529755056,SH
WITHIN_BAND,-0.04662797046059333,0.49945620418570674,SH
INTERACTION,-0.020361495807003666,0.012850712195853984,SH
