hemisphere,surface,total,mk_p,redistribution,within_band,interaction
NH,ocean,0.080909257173072804,0.22101797270992479,0.030372332466532724,0.077318756226143412,0.025136142205537212
SH,ocean,-0.023139027612275386,0.863482766117042,0.068758534629355328,-0.028263060180344114,-0.015177082239593713
NH,land,-0.22222409077870306,0.17856166166885751,-0.09161652235800416,-0.1526700496968228,0.042574667576004893
SH,land,0.1365915394722583,0.46030716787530529,0.057412375566537499,0.1607358019552701,0.0048317484129549691
