record_type,domain,year,mean_lat,n_records,fit,fit_lower,fit_upper,trend_per_decade,p_value
track,NH,1980,19.89893591293833,4135,19.323164518824385,18.604329029040873,20.023943526542556,0.6312276556997447,2.2564442460177386e-05
track,NH,1981,21.847464822901504,4122,19.386287284394356,18.684692887381516,20.077359916508883,0.6312276556997447,2.2564442460177386e-05
track,NH,1982,19.141650251696213,4569,19.449410049964328,18.76944912511629,20.126009201398574,0.6312276556997447,2.2564442460177386e-05
track,NH,1983,17.03202445652174,3680,19.512532815534314,18.855805120737223,20.170988584650885,0.6312276556997447,2.2564442460177386e-05
track,NH,1984,20.468887517993007,4863,19.575655581104286,18.926252840017103,20.21098424357634,0.6312276556997447,2.2564442460177386e-05
track,NH,1985,20.42293290249002,5261,19.638778346674258,19.01847782569566,20.256560167294626,0.6312276556997447,2.2564442460177386e-05
track,NH,1986,18.69885732592909,4682,19.70190111224423,19.098146349084743,20.30980980754324,0.6312276556997447,2.2564442460177386e-05
track,NH,1987,19.038815789473684,4408,19.7650238778142,19.186230287261047,20.366712343052146,0.6312276556997447,2.2564442460177386e-05
track,NH,1988,20.600239635753656,4173,19.828146643384187,19.272680500504933,20.417045731318755,0.6312276556997447,2.2564442460177386e-05
track,NH,1989,20.346975160256413,4992,19.89126940895416,19.347766178580013,20.474127117784175,0.6312276556997447,2.2564442460177386e-05
track,NH,1990,19.201379912663754,5725,19.95439217452413,19.428123885040172,20.531138873849933,0.6312276556997447,2.2564442460177386e-05
track,NH,1991,19.277622003424657,4672,20.017514940094102,19.49783246111045,20.59262088777605,0.6312276556997447,2.2564442460177386e-05
track,NH,1992,19.141307960777795,6017,20.080637705664074,19.579854231380345,20.655154507414977,0.6312276556997447,2.2564442460177386e-05
track,NH,1993,17.59250912212921,4659,20.14376047123406,19.6669226183334,20.71302524879043,0.6312276556997447,2.2564442460177386e-05
track,NH,1994,19.781074054150977,5577,20.206883236804032,19.738001280792012,20.774434783425693,0.6312276556997447,2.2564442460177386e-05
track,NH,1995,20.080653111521872,4869,20.270006002374004,19.812935903915356,20.830656334375703,0.6312276556997447,2.2564442460177386e-05
track,NH,1996,20.712698133145473,5678,20.333128767943975,19.89143707129094,20.889248872595015,0.6312276556997447,2.2564442460177386e-05
track,NH,1997,19.353454101745825,5327,20.396251533513947,19.96752857561546,20.945925642465127,0.6312276556997447,2.2564442460177386e-05
track,NH,1998,20.983616569304303,3766,20.45937429908392,20.03356511643088,21.00940731022489,0.6312276556997447,2.2564442460177386e-05
track,NH,1999,21.41500831485588,3608,20.522497064653905,20.111657712010057,21.07307527819832,0.6312276556997447,2.2564442460177386e-05
track,NH,2000,21.88798064996279,4031,20.585619830223877,20.183325057980923,21.135293939175043,0.6312276556997447,2.2564442460177386e-05
track,NH,2001,21.862225782597978,4057,20.64874259579385,20.25147901762529,21.198416704745014,0.6312276556997447,2.2564442460177386e-05
track,NH,2002,21.217074388417377,4006,20.71186536136382,20.308051935229738,21.26094674037476,0.6312276556997447,2.2564442460177386e-05
track,NH,2003,20.505149812734082,4272,20.774988126933792,20.359353385194325,21.324586558097856,0.6312276556997447,2.2564442460177386e-05
track,NH,2004,22.048874371859295,4975,20.838110892503778,20.427407902022008,21.38780640939227,0.6312276556997447,2.2564442460177386e-05
track,NH,2005,22.37291963377416,4915,20.90123365807375,20.482556304575446,21.450907767024916,0.6312276556997447,2.2564442460177386e-05
track,NH,2006,20.643986375381722,4257,20.96435642364372,20.53854724099068,21.516606246204848,0.6312276556997447,2.2564442460177386e-05
track,NH,2007,21.91514437242192,3394,21.027479189213693,20.601670006560653,21.58060333665665,0.6312276556997447,2.2564442460177386e-05
track,NH,2008,20.957284353059176,3988,21.090601954783665,20.664792772130625,21.64944362471071,0.6312276556997447,2.2564442460177386e-05
track,NH,2009,20.33324455205811,4130,21.15372472035365,20.727915537700596,21.715892751624953,0.6312276556997447,2.2564442460177386e-05
track,NH,2010,21.16844070961718,3213,21.216847485923623,20.788624875020265,21.787044263299652,0.6312276556997447,2.2564442460177386e-05
track,NH,2011,22.04413103971667,3953,21.279970251493594,20.834269494560267,21.855083992626348,0.6312276556997447,2.2564442460177386e-05
track,NH,2012,22.32445404913558,4396,21.343093017063566,20.88042650837757,21.918965004257874,0.6312276556997447,2.2564442460177386e-05
track,NH,2013,19.54461926495316,4163,21.406215782633538,20.932009041414975,21.9885934188553,0.6312276556997447,2.2564442460177386e-05
track,NH,2014,20.45158787010506,4188,21.469338548203524,20.974656462463184,22.060153940989593,0.6312276556997447,2.2564442460177386e-05
track,NH,2015,19.997024461482294,5478,21.532461313773496,21.023712877295566,22.13389047282264,0.6312276556997447,2.2564442460177386e-05
track,NH,2016,21.643990855649903,4593,21.595584079343467,21.068740258852596,22.208143331190396,0.6312276556997447,2.2564442460177386e-05
track,NH,2017,21.534478644714866,4191,21.65870684491344,21.11018984940893,22.288018940900088,0.6312276556997447,2.2564442460177386e-05
track,NH,2018,21.783599068434253,5582,21.72182961048341,21.15342491579447,22.36420263582919,0.6312276556997447,2.2564442460177386e-05
track,NH,2019,20.781063259839275,4853,21.784952376053383,21.199175097000836,22.438313771891337,0.6312276556997447,2.2564442460177386e-05
track,NH,2020,22.561425364758698,4455,21.84807514162337,21.24635194190734,22.51455878319505,0.6312276556997447,2.2564442460177386e-05
track,NH,2021,22.486303854875285,4410,21.91119790719334,21.29180393959026,22.591479952764537,0.6312276556997447,2.2564442460177386e-05
track,NH,2022,22.868169364881695,4015,21.974320672763312,21.337985940772548,22.668452275672358,0.6312276556997447,2.2564442460177386e-05
track,NH,2023,21.202875470028754,4521,22.037443438333284,21.382860221092546,22.75104730364555,0.6312276556997447,2.2564442460177386e-05
track,SH,1980,18.286241319444443,2304,17.526749267751,16.849004746682734,18.07355001836936,0.09168628228467018,0.28823680135136065
track,SH,1981,17.571464646464648,2178,17.535917895979466,16.876497375377735,18.065798472862927,0.09168628228467018,0.28823680135136065
track,SH,1982,17.707501229709788,2033,17.54508652420793,16.90962963835748,18.060278250332257,0.09168628228467018,0.28823680135136065
track,SH,1983,16.755663881151346,2154,17.554255152436397,16.94168621514028,18.05132474937186,0.09168628228467018,0.28823680135136065
track,SH,1984,18.067572857764244,2299,17.563423780664863,16.974810189111007,18.04205071493505,0.09168628228467018,0.28823680135136065
track,SH,1985,17.57921881743634,2317,17.572592408893335,17.011867783675225,18.03117692931712,0.09168628228467018,0.28823680135136065
track,SH,1986,17.982512772875058,2153,17.5817610371218,17.036107514950427,18.026263252778318,0.09168628228467018,0.28823680135136065
track,SH,1987,17.58430325680726,1873,17.590929665350266,17.06144791852805,18.017847328460643,0.09168628228467018,0.28823680135136065
track,SH,1988,17.494100964265456,1763,17.600098293578732,17.091315112890427,18.02059878718963,0.09168628228467018,0.28823680135136065
track,SH,1989,18.098091603053437,2489,17.609266921807198,17.111940863760047,18.014114080030588,0.09168628228467018,0.28823680135136065
track,SH,1990,17.072901119402985,2144,17.61843555003567,17.13553380830748,18.007536695277825,0.09168628228467018,0.28823680135136065
track,SH,1991,16.02912876974629,2089,17.627604178264136,17.168093933340447,18.000917215381403,0.09168628228467018,0.28823680135136065
track,SH,1992,17.329508196721314,2074,17.6367728064926,17.187850815940344,17.999351385007383,0.09168628228467018,0.28823680135136065
track,SH,1993,18.134670987038884,2006,17.645941434721067,17.215569924681052,17.996918232118787,0.09168628228467018,0.28823680135136065
track,SH,1994,17.27827993897788,2622,17.655110062949532,17.22435952774577,17.997624883678164,0.09168628228467018,0.28823680135136065
track,SH,1995,16.949404761904763,1680,17.664278691178005,17.24451998735129,17.989411840209147,0.09168628228467018,0.28823680135136065
track,SH,1996,15.686440677966102,2832,17.67344731940647,17.2604549900929,17.984874438278496,0.09168628228467018,0.28823680135136065
track,SH,1997,17.98380709038646,3131,17.682615947634936,17.277088773621802,17.98875912177783,0.09168628228467018,0.28823680135136065
track,SH,1998,17.597245600612087,2614,17.6917845758634,17.285464993918726,17.997507558283207,0.09168628228467018,0.28823680135136065
track,SH,1999,19.396673706441394,1894,17.700953204091874,17.292328407087506,17.998106335486597,0.09168628228467018,0.28823680135136065
track,SH,2000,19.04073756432247,2332,17.71012183232034,17.316668579280183,18.005685617852574,0.09168628228467018,0.28823680135136065
track,SH,2001,18.013183279742766,1866,17.719290460548805,17.336459927050818,18.0148267758418,0.09168628228467018,0.28823680135136065
track,SH,2002,16.73759521218716,1838,17.72845908877727,17.33541695595758,18.022640408765028,0.09168628228467018,0.28823680135136065
track,SH,2003,16.95371153846154,2600,17.737627717005736,17.340536329710442,18.031533688212974,0.09168628228467018,0.28823680135136065
track,SH,2004,16.990652173913045,1840,17.74679634523421,17.3465470081512,18.030698222294713,0.09168628228467018,0.28823680135136065
track,SH,2005,17.30704298291041,1931,17.755964973462675,17.343026125259673,18.04933092496454,0.09168628228467018,0.28823680135136065
track,SH,2006,16.621746478873238,1775,17.76513360169114,17.346444629967763,18.0617727506502,0.09168628228467018,0.28823680135136065
track,SH,2007,16.976281732205077,2009,17.774302229919606,17.35641444056665,18.083117298159653,0.09168628228467018,0.28823680135136065
track,SH,2008,17.526560159760358,2003,17.78347085814807,17.358152657667564,18.09950445865547,0.09168628228467018,0.28823680135136065
track,SH,2009,17.818127381600437,1837,17.792639486376544,17.359993763010635,18.123937317048416,0.09168628228467018,0.28823680135136065
track,SH,2010,17.622418967587034,1666,17.80180811460501,17.358745092983263,18.152890402281074,0.09168628228467018,0.28823680135136065
