domain,hemisphere,band_idx,band_label,mig_point,mig_ci_low,mig_ci_high,int_point,int_ci_low,int_ci_high,resid_point,resid_ci_low,resid_ci_high,tot_point,tot_ci_low,tot_ci_high
NH,NH,0,0-15,-0.44818968148016686,-0.6615195157036421,-0.21772480324735555,0.1422419789827,-0.02296104995366332,0.24992485085449914,-0.01994730350521748,-0.05551531840022707,0.05260331946936554,-0.32589500600268434,-0.508957541739355,-0.15145797424653432
NH,NH,1,15-25,0.1851231803630856,-0.05579844527109232,0.3802027561219756,-0.010030721860541872,-0.12057453083818989,0.08304825348814118,-0.0268749906831691,-0.059020976440747656,0.05301052096491982,0.14821746781937462,-0.118762390433785,0.41450079810012275
NH,NH,2,25-35,0.22830401886602672,0.027342080767354685,0.4135969110622976,0.004973505704020607,-0.044334869753145045,0.02554985829433874,-0.010957992572370538,-0.020774232974279022,0.030765664316379948,0.2223195319976768,0.018040207236799055,0.4082131923348988
NH,NH,3,35-90,0.12957164663944584,0.03056063419745321,0.17274205032929302,0.0006842687652869341,-0.012041212689380784,0.026961850417058304,0.008737688319540719,-0.012907128007323665,0.015383883129406776,0.1389936037242735,0.03339677705259748,0.19241088127783437
SH,SH,0,0-10,-0.020435118006562673,-0.18882558935064694,0.18415740213999632,0.02252689162341879,-0.045056709631144436,0.049552202611676324,-0.006456732600930614,-0.03144638770396071,0.03130082566322401,-0.004364958984074498,-0.19392146076019756,0.1942808963579043
SH,SH,1,10-15,-0.23301958164501552,-0.4921039492264584,-0.09062460096131146,0.12460307692755405,0.08093013677277414,0.32547295106591484,0.04645719637507369,-0.06913750097035853,0.05410167871397115,-0.06195930834238779,-0.3286595487262862,0.12417878535378594
SH,SH,2,15-20,0.15774302471508297,-0.07735077372122286,0.32888991055447625,0.10297846846963812,-0.007780731753578674,0.21043306091002803,-0.027786153541047742,-0.047400831515404376,0.04854183036971165,0.23293533964367336,0.00809271865686928,0.44179652920893536
SH,SH,3,20-90,0.18253080737933353,-0.07936827140448152,0.4429966401139105,-0.017879741960293075,-0.10483730134007051,-0.02014825142262901,-0.034364653142820306,-0.03999990393616013,0.049435393133343095,0.13028641227622015,-0.13639983506374215,0.3862734252883117
