domain,hemisphere,band_idx,band_label,mig_point,mig_ci_low,mig_ci_high,int_point,int_ci_low,int_ci_high,resid_point,resid_ci_low,resid_ci_high,tot_point,tot_ci_low,tot_ci_high,n_events
WP,NH,0,0-15,-0.53097676053147058,-0.96154716836057641,-0.24901359929251191,0.062633529797568102,-0.042391579230111602,0.23523487351330899,-0.057366326540712803,-0.080952290959113202,0.064277581276828005,-0.52570955727461521,-0.79600691520951417,-0.21259956368112479,31161
WP,NH,1,15-25,0.29871212649876172,0.0518734429421151,0.55918545973859812,-0.010599262190296201,-0.1694375530458381,0.15204322376744639,0.0048630791948797002,-0.070486344899945097,0.084961086962396307,0.29297594350334522,-0.098046201954114995,0.68831183931571871,36735
WP,NH,2,25-35,0.30609348583717721,0.072609470851947203,0.58441088286737553,0.041147548968223098,-0.027144896820752901,0.046406971306263402,-0.0118727537346138,-0.043115611351623201,0.032091690265744897,0.33536828107078648,0.1040111733224528,0.58788903683854354,14512
WP,NH,3,35-90,0.1189577599003367,0.014012592313043699,0.15242554049416771,0.0073201954958276999,-0.017879767589630301,0.0261721073071936,0.0135641204325754,-0.020455531965251499,0.0121111435475865,0.13984207582873989,0.0109887561914618,0.15811311779702381,6955
EP,NH,0,0-15,-0.24262239334096761,-0.75818988893461337,0.1111551320087687,0.19058990058189601,-0.0196958718669334,0.31771794157252842,0.031733430239606501,-0.1229543714615292,0.0914759942769134,-0.020299062519464998,-0.69295777230218192,0.32772608911982332,16049
EP,NH,1,15-25,0.0965212828805386,-0.12689503388673981,0.65008423396444204,0.051941765177549698,-0.095156939196572199,0.26694227801207399,-0.0136799561814923,-0.1047475623899246,0.10946839170573951,0.1347830918765959,-0.0260067502290806,0.70317428350513567,18999
EP,NH,2,25-35,0.080957335844267897,-0.028681909669608801,0.14219475077401289,-0.0039105536003453999,-0.036518609984429698,0.045000426052964199,0.003890203579734,-0.022060439954787899,0.025727621071405499,0.080936985823656493,-0.0093687162581639997,0.1438450837090772,1001
EP,NH,3,35-90,-0.00037427952655260001,-0.0096724114235135009,0.0090736575018120994,-0.0030090146557040999,-0.0072835194599156,0.00095157455583969996,0.00066373479737320005,-0.0024349457862431999,0.0052944059307084004,-0.0027195593848834002,-0.010401223308230101,0.0071666390672115998,267
NA,NH,0,0-15,0.039048594300316097,-0.1194358520036885,0.2040959531363673,0.065913761528865605,-0.1150911222656643,0.089631049361997298,-0.033169557931307998,-0.083211666385051397,0.085453360387134206,0.071792797897873697,-0.1261063637285017,0.20323956805455609,5094
NA,NH,1,15-25,0.045245383840371002,-0.62017574484726168,0.36472003103427592,0.036807791436052201,-0.023020195717292601,0.2042223118137573,-0.0061305748442490003,-0.072338775977479897,0.1543275080013031,0.075922600432174095,-0.50453206955323526,0.4903620693033679,11852
