domain,year,N_t,TCP_mean,fit,fit_lower,fit_upper,trend_per_decade,p_value
GLOBAL,1980,5416,18.621744451086332,18.775245158982173,18.276292005101364,19.553224183445927,0.19793129049884972,0.006513664827890087
GLOBAL,1981,5396,18.377615901691186,18.79503828803206,18.318320556769695,19.547082278606158,0.19793129049884972,0.006513664827890087
GLOBAL,1982,5527,18.725356658445317,18.81483141708194,18.35666541440974,19.549103793151016,0.19793129049884972,0.006513664827890087
GLOBAL,1983,5051,18.678477448126802,18.834624546131828,18.395885446005376,19.553421714255045,0.19793129049884972,0.006513664827890087
GLOBAL,1984,6045,19.00302734160168,18.854417675181715,18.429738690996075,19.553537137830453,0.19793129049884972,0.006513664827890087
GLOBAL,1985,6387,19.06259400569943,18.874210804231602,18.465820218585176,19.555825715044058,0.19793129049884972,0.006513664827890087
GLOBAL,1986,6043,18.986135735374752,18.894003933281482,18.50510244314196,19.558114292257667,0.19793129049884972,0.006513664827890087
GLOBAL,1987,5463,18.60903530029284,18.91379706233137,18.546909451441675,19.55507491092257,0.19793129049884972,0.006513664827890087
GLOBAL,1988,5037,19.31200369696694,18.933590191381256,18.582576790569874,19.56224280228253,0.19793129049884972,0.006513664827890087
GLOBAL,1989,6502,19.04285807906776,18.953383320431136,18.609907852943703,19.572241791765247,0.19793129049884972,0.006513664827890087
GLOBAL,1990,6923,18.88050515075154,18.973176449481024,18.63279857626072,19.572108509603837,0.19793129049884972,0.006513664827890087
GLOBAL,1991,5866,18.82063736086961,18.99296957853091,18.661403812898293,19.572346659159493,0.19793129049884972,0.006513664827890087
GLOBAL,1992,7208,18.88904569953861,19.01276270758079,18.688743193548397,19.584950901836454,0.19793129049884972,0.006513664827890087
GLOBAL,1993,5877,18.756813616375403,19.032555836630678,18.71764351700342,19.597434343131027,0.19793129049884972,0.006513664827890087
GLOBAL,1994,7312,18.37548215101162,19.052348965680565,18.746832728544057,19.611756598327307,0.19793129049884972,0.006513664827890087
GLOBAL,1995,5881,18.09035664043195,19.072142094730445,18.774896868887033,19.622565745250647,0.19793129049884972,0.006513664827890087
GLOBAL,1996,7528,18.302266705467332,19.091935223780332,18.80142494551038,19.633746126660085,0.19793129049884972,0.006513664827890087
GLOBAL,1997,7497,18.699972443581675,19.11172835283022,18.830209586930295,19.644298337600084,0.19793129049884972,0.006513664827890087
GLOBAL,1998,5662,19.375126453019224,19.1315214818801,18.855707507359543,19.65413352570964,0.19793129049884972,0.006513664827890087
GLOBAL,1999,4922,19.79503839548165,19.151314610929987,18.87543578533161,19.668555967320632,0.19793129049884972,0.006513664827890087
GLOBAL,2000,5710,19.611291698400397,19.171107739979874,18.895421142192387,19.680648972535852,0.19793129049884972,0.006513664827890087
GLOBAL,2001,5460,20.178912131050307,19.19090086902976,18.915158648774486,19.69608509689041,0.19793129049884972,0.006513664827890087
GLOBAL,2002,5291,19.775669267357195,19.21069399807964,18.93939763976998,19.716177428353628,0.19793129049884972,0.006513664827890087
GLOBAL,2003,6262,19.909016889623388,19.23048712712953,18.9677807709199,19.7288479044443,0.19793129049884972,0.006513664827890087
GLOBAL,2004,5938,19.592531819002918,19.250280256179416,18.990260958398377,19.750938857799174,0.19793129049884972,0.006513664827890087
GLOBAL,2005,6219,19.7481770442882,19.270073385229296,19.001473523856365,19.78000392769746,0.19793129049884972,0.006513664827890087
GLOBAL,2006,5420,20.386282092699236,19.289866514279183,19.01335547137601,19.808300791343694,0.19793129049884972,0.006513664827890087
GLOBAL,2007,4931,20.198783505080527,19.30965964332907,19.025149342801658,19.831291615772447,0.19793129049884972,0.006513664827890087
GLOBAL,2008,5334,20.778017417500116,19.32945277237895,19.033483946934712,19.854294408858394,0.19793129049884972,0.006513664827890087
GLOBAL,2009,5296,20.49634434734897,19.349245901428837,19.041941083915454,19.885963228974457,0.19793129049884972,0.006513664827890087
GLOBAL,2010,4473,19.948300100060166,19.369039030478724,19.050413491148717,19.917120073020886,0.19793129049884972,0.006513664827890087
GLOBAL,2011,5082,20.39102503647473,19.388832159528604,19.058863107019924,19.94556345891931,0.19793129049884972,0.006513664827890087
GLOBAL,2012,5545,19.76569984017938,19.40862528857849,19.070089659665403,19.973640126239307,0.19793129049884972,0.006513664827890087
GLOBAL,2013,5380,20.02665393990364,19.42841841762838,19.083776321103727,20.00685591435933,0.19793129049884972,0.006513664827890087
GLOBAL,2014,5421,19.865674761035397,19.448211546678266,19.100775323734318,20.0282619440392,0.19793129049884972,0.006513664827890087
GLOBAL,2015,6583,19.296028145352942,19.468004675728146,19.096963338579474,20.06405041654943,0.19793129049884972,0.006513664827890087
GLOBAL,2016,5219,19.380988899860238,19.487797804778033,19.1011681647811,20.108641890570755,0.19793129049884972,0.006513664827890087
GLOBAL,2017,5062,19.033972366461544,19.50759093382792,19.109609559217564,20.13927951092397,0.19793129049884972,0.006513664827890087
GLOBAL,2018,7081,19.12182108002295,19.5273840628778,19.119130843400608,20.180532141868973,0.19793129049884972,0.006513664827890087
GLOBAL,2019,6146,19.05939924000611,19.547177191927688,19.12604712064229,20.21525135060389,0.19793129049884972,0.006513664827890087
GLOBAL,2020,5580,19.011968783497117,19.566970320977575,19.134887166354886,20.253255922674096,0.19793129049884972,0.006513664827890087
GLOBAL,2021,5734,19.02723512278774,19.586763450027455,19.142311890014273,20.29449241940437,0.19793129049884972,0.006513664827890087
GLOBAL,2022,5521,18.816502732871076,19.606556579077342,19.13772271173294,20.33226622744786,0.19793129049884972,0.006513664827890087
GLOBAL,2023,5540,19.101242689920564,19.62634970812723,19.12592877656194,20.380797545443148,0.19793129049884972,0.006513664827890087
NH,1980,3450,18.63765555054041,18.861705144237824,18.380570694148943,19.63741996906611,0.1780014590308196,0.036290965357690864
NH,1981,3533,18.294148448931775,18.879505290140905,18.423480422289888,19.64336035394258,0.1780014590308196,0.036290965357690864
NH,1982,3769,18.859618534875334,18.897305436043986,18.458048405953523,19.628758223286592,0.1780014590308196,0.036290965357690864
NH,1983,3150,19.120266645513347,18.915105581947067,18.488206386520147,19.638846954518748,0.1780014590308196,0.036290965357690864
NH,1984,3978,18.878795166160444,18.932905727850148,18.524323788293277,19.646312488164362,0.1780014590308196,0.036290965357690864
NH,1985,4482,19.340422995756764,18.95070587375323,18.557548985507125,19.636811329625726,0.1780014590308196,0.036290965357690864
NH,1986,4131,18.754153822846583,18.968506019656317,18.592281709051267,19.63134267004167,0.1780014590308196,0.036290965357690864
NH,1987,3796,18.489300614357088,18.986306165559398,18.623980401967064,19.626333741867754,0.1780014590308196,0.036290965357690864
NH,1988,3440,19.212634586006757,19.00410631146248,18.65613565654678,19.628919601623203,0.1780014590308196,0.036290965357690864
NH,1989,4240,19.008461765259433,19.02190645736556,18.69033932105887,19.628548630770233,0.1780014590308196,0.036290965357690864
NH,1990,5027,18.94458609962311,19.03970660326864,18.723445060926082,19.6346948853292,0.1780014590308196,0.036290965357690864
NH,1991,4037,19.084403403620744,19.057506749171722,18.752539306527947,19.631702159312823,0.1780014590308196,0.036290965357690864
NH,1992,5296,18.832016289968173,19.075306895074803,18.784861722999473,19.633891076513468,0.1780014590308196,0.036290965357690864
NH,1993,4072,18.4826818662085,19.093107040977884,18.815151113263404,19.64674742028587,0.1780014590308196,0.036290965357690864
NH,1994,4943,18.69281036154711,19.110907186880972,18.844665318460542,19.65009034695791,0.1780014590308196,0.036290965357690864
NH,1995,4311,18.15802865996736,19.128707332784053,18.866342256530977,19.653092415496644,0.1780014590308196,0.036290965357690864
NH,1996,5058,18.295621735066785,19.146507478687134,18.88650068148436,19.670652160093095,0.1780014590308196,0.036290965357690864
NH,1997,4712,18.69329071202949,19.164307624590215,18.905552823366666,19.690018199266266,0.1780014590308196,0.036290965357690864
NH,1998,3345,19.733524805648443,19.182107770493296,18.925329448457013,19.706563545347013,0.1780014590308196,0.036290965357690864
NH,1999,3211,19.96881003053773,19.199907916396377,18.948344824772363,19.713503450156647,0.1780014590308196,0.036290965357690864
NH,2000,3637,20.116645090534327,19.217708062299458,18.970256900353267,19.722450402144858,0.1780014590308196,0.036290965357690864
NH,2001,3718,20.450469136473856,19.235508208202546,18.99213529842478,19.73385390066981,0.1780014590308196,0.036290965357690864
NH,2002,3578,19.81208107473255,19.253308354105627,19.00997957977556,19.766826955647282,0.1780014590308196,0.036290965357690864
NH,2003,3813,20.152346058303152,19.271108500008708,19.026087579777712,19.788235563338713,0.1780014590308196,0.036290965357690864
NH,2004,4269,19.476111716089672,19.28890864591179,19.040567812921058,19.807136648376584,0.1780014590308196,0.036290965357690864
NH,2005,4401,19.579409296308413,19.30670879181487,19.053131202895965,19.821471012861334,0.1780014590308196,0.036290965357690864
NH,2006,3754,20.242046473489324,19.32450893771795,19.066622452747744,19.840950958028948,0.1780014590308196,0.036290965357690864
NH,2007,3016,20.448896007043803,19.342309083621032,19.074343162902217,19.855679587192853,0.1780014590308196,0.036290965357690864
NH,2008,3475,20.92139638085536,19.36010922952412,19.081535873264563,19.89367435728308,0.1780014590308196,0.036290965357690864
NH,2009,3641,20.974855449221558,19.3779093754272,19.087457355912882,19.923193012489325,0.1780014590308196,0.036290965357690864
NH,2010,2917,19.40915421343641,19.395709521330282,19.10143908650718,19.94471217469218,0.1780014590308196,0.036290965357690864
NH,2011,3517,20.067860463027653,19.413509667233363,19.11516975802165,19.96511635500078,0.1780014590308196,0.036290965357690864
NH,2012,3795,19.538669774355416,19.431309813136444,19.12235036026354,19.98618349279894,0.1780014590308196,0.036290965357690864
NH,2013,3736,19.798773109351327,19.449109959039525,19.124212762729588,20.007176900965174,0.1780014590308196,0.036290965357690864
NH,2014,3700,20.02537796230896,19.466910104942606,19.126906191282956,20.027441449857086,0.1780014590308196,0.036290965357690864
NH,2015,4924,19.498255417889574,19.484710250845687,19.125944938859064,20.06804864693385,0.1780014590308196,0.036290965357690864
NH,2016,4047,19.298779631102903,19.502510396748775,19.122418881414017,20.0975305686304,0.1780014590308196,0.036290965357690864
NH,2017,3763,19.29150079872951,19.520310542651856,19.12696963033747,20.132246388697197,0.1780014590308196,0.036290965357690864
NH,2018,5095,19.193992084307013,19.538110688554937,19.12611101389723,20.17353382238033,0.1780014590308196,0.036290965357690864
NH,2019,4234,19.112744600472062,19.555910834458018,19.134798380107735,20.21510845734298,0.1780014590308196,0.036290965357690864
NH,2020,3818,19.102231883086702,19.5737109803611,19.130517433470917,20.24995317983209,0.1780014590308196,0.036290965357690864
NH,2021,3841,19.325849685110153,19.59151112626418,19.12563207260744,20.288162858557964,0.1780014590308196,0.036290965357690864
NH,2022,3341,18.708917934922535,19.60931127216726,19.118796581561597,20.326372537283852,0.1780014590308196,0.036290965357690864
NH,2023,3955,18.83835018287616,19.62711141807035,19.11655657433895,20.37077602503992,0.1780014590308196,0.036290965357690864
SH,1980,1966,18.593823142278318,18.686806577423585,17.92710762030818,19.47378648716902,0.25306106443459775,0.008294946910975274
SH,1981,1863,18.535903883762582,18.71211268386705,17.982091667074194,19.48262846741764,0.25306106443459775,0.008294946910975274
SH,1982,1758,18.43751080391474,18.73741879031051,18.025183577529198,19.4669110035723,0.25306106443459775,0.008294946910975274
SH,1983,1901,17.94642275492974,18.76272489675397,18.058616414914194,19.472319761993187,0.25306106443459775,0.008294946910975274
SH,1984,2067,19.242115679243305,18.78803100319743,18.116956446442437,19.480984555153242,0.25306106443459775,0.008294946910975274
SH,1985,1905,18.40893020861967,18.813337109640887,18.17373265277052,19.48046781161121,0.25306106443459775,0.008294946910975274
SH,1986,1912,19.487347702243937,18.838643216084346,18.221976745545366,19.4797043791702,0.25306106443459775,0.008294946910975274
SH,1987,1667,18.881688490342107,18.863949322527805,18.271157379355024,19.478940946729193,0.25306106443459775,0.008294946910975274
SH,1988,1597,19.526048619761564,18.889255428971264,18.31820666481304,19.49029682833787,0.25306106443459775,0.008294946910975274
SH,1989,2262,19.107332159769495,18.914561535414723,18.36018006534617,19.489310472171837,0.25306106443459775,0.008294946910975274
SH,1990,1896,18.71060276152296,18.93986764185819,18.400374107645973,19.48815252231035,0.25306106443459775,0.008294946910975274
SH,1991,1829,18.23844845185577,18.96517374830165,18.44065076919438,19.49184897406845,0.25306106443459775,0.008294946910975274
SH,1992,1912,19.04701000554542,18.990479854745107,18.482574912989076,19.499870017540342,0.25306106443459775,0.008294946910975274
SH,1993,1805,19.37524269486826,19.015785961188566,18.520997450347735,19.502534397666757,0.25306106443459775,0.008294946910975274
SH,1994,2369,17.713365922781595,19.041092067632025,18.557353480752276,19.5097541976352,0.25306106443459775,0.008294946910975274
SH,1995,1570,17.904538757491093,19.066398174075484,18.587509565642367,19.52086384665949,0.25306106443459775,0.008294946910975274
SH,1996,2470,18.31587409829566,19.091704280518943,18.6177499037783,19.52801827576723,0.25306106443459775,0.008294946910975274
SH,1997,2785,18.71127740554717,19.117010386962402,18.64925844683456,19.55484356759538,0.25306106443459775,0.008294946910975274
SH,1998,2317,18.85771493400984,19.14231649340586,18.688412427191512,19.57140429676106,0.25306106443459775,0.008294946910975274
SH,1999,1711,19.468924590592657,19.167622599849327,18.717879231033695,19.589092144937318,0.25306106443459775,0.008294946910975274
SH,2000,2073,18.72466830853494,19.192928706292786,18.757161772921695,19.605021905707236,0.25306106443459775,0.008294946910975274
SH,2001,1742,19.599320313504528,19.218234812736245,18.775610306646737,19.626178157606727,0.25306106443459775,0.008294946910975274
SH,2002,1713,19.699614715816608,19.243540919179704,18.80884104453876,19.660065663181236,0.25306106443459775,0.008294946910975274
SH,2003,2449,19.530162614337172,19.268847025623163,18.8381846878576,19.694511640585098,0.25306106443459775,0.008294946910975274
SH,2004,1669,19.89031337642452,19.294153132066622,18.86085380933622,19.727969255041348,0.25306106443459775,0.008294946910975274
SH,2005,1818,20.156728671823434,19.31945923851008,18.88327547070216,19.758498047396202,0.25306106443459775,0.008294946910975274
SH,2006,1666,20.711288403932134,19.34476534495354,18.89493753008622,19.797301027473697,0.25306106443459775,0.008294946910975274
SH,2007,1915,19.804872640369695,19.370071451397,18.919221326238603,19.826280126722416,0.25306106443459775,0.008294946910975274
SH,2008,1859,20.510001334843057,19.395377557840465,18.938916119342327,19.8658841935059,0.25306106443459775,0.008294946910975274
SH,2009,1655,19.44361992322927,19.420683664283924,18.957221050634587,19.900262554952658,0.25306106443459775,0.008294946910975274
SH,2010,1556,20.959025390086833,19.445989770727383,18.96251526004323,19.943495348740782,0.25306106443459775,0.008294946910975274
SH,2011,1565,21.117267723256433,19.471295877170842,18.974422044186806,19.989217593123918,0.25306106443459775,0.008294946910975274
SH,2012,1750,20.258030754351914,19.4966019836143,18.993185157375343,20.032953345884618,0.25306106443459775,0.008294946910975274
SH,2013,1644,20.544514513470205,19.52190809005776,19.00536928557576,20.087821860478595,0.25306106443459775,0.008294946910975274
SH,2014,1721,19.522326797809253,19.54721419650122,19.0084185652828,20.139581022007032,0.25306106443459775,0.008294946910975274
SH,2015,1659,18.69580687352028,19.572520302944678,19.004006636987626,20.184524035150936,0.25306106443459775,0.008294946910975274
SH,2016,1172,19.664863397011207,19.597826409388137,19.024910080517927,20.24200350689098,0.25306106443459775,0.008294946910975274
SH,2017,1299,18.287952743194147,19.623132515831603,19.02673113043256,20.29454321697999,0.25306106443459775,0.008294946910975274
SH,2018,1986,18.936669384742327,19.648438622275062,19.03925259028529,20.348792195203707,0.25306106443459775,0.008294946910975274
SH,2019,1912,18.9412693988906,19.67374472871852,19.055210549891132,20.397425094416356,0.25306106443459775,0.008294946910975274
SH,2020,1762,18.816381658506742,19.69905083516198,19.061685961532845,20.455732277932803,0.25306106443459775,0.008294946910975274
SH,2021,1893,18.42132992792224,19.72435694160544,19.053449204968768,20.499075519829145,0.25306106443459775,0.008294946910975274
SH,2022,2180,18.98138383835093,19.749663048048898,19.05554950594075,20.54611818528748,0.25306106443459775,0.008294946910975274
SH,2023,1585,19.757229986678055,19.774969154492357,19.082203634083196,20.59260661278404,0.25306106443459775,0.008294946910975274
