lat,lon,trend,p_value,valid_years
-51.5,198.5,-0.17026246235171186,0.2104977000553373,10
-50.5,194.5,-0.7228821153902583,0.28313087066234666,10
-49.5,184.5,-0.2712821239606954,0.4742743507673295,10
-49.5,185.5,-0.08568900792754416,0.640428787412791,11
-49.5,186.5,0.2015490230593207,0.640428787412791,11
-48.5,183.5,-0.03539737654320992,0.8580276569875211,10
-48.5,184.5,-0.07448190066257755,0.8580276569875211,10
-48.5,185.5,-0.35868282498184456,0.27575784782750934,11
-48.5,186.5,-0.1005572024593763,0.5334165134726944,11
-48.5,188.5,0.37815126050420034,0.27575784782750934,11
-47.5,182.5,-0.35870535714285695,0.21291190281150452,11
-47.5,183.5,-0.022997835497836995,0.8762696636277617,11
-47.5,184.5,-0.19052287581699387,0.8762696636277617,11
-47.5,185.5,0.014995974235104804,1.0,10
-47.5,186.5,0.022945468509984072,1.0,10
-47.5,187.5,-0.05208333333333333,1.0,10
-46.5,183.5,0.12254901960784306,0.8580276569875211,10
-46.5,184.5,0.35646551724137937,0.35020138917929566,11
-46.5,185.5,0.47123842592592563,0.07363827012030266,10
-46.5,187.5,-0.5916666666666668,0.37109336952269756,10
-46.5,188.5,0.036061144632006645,0.5915050369949166,10
-46.5,191.5,0.2892841243618249,0.5334165134726944,11
-46.5,193.5,0.3652597402597405,0.6534220947553175,10
-45.5,179.5,0.11968219624592569,0.7205147871362552,10
-45.5,181.5,-0.2266810194223281,0.37109336952269756,10
-45.5,182.5,0.08104291298512545,0.7317017232242102,12
-45.5,183.5,0.10674366616989546,0.7554968749288828,11
-45.5,184.5,0.625,0.21291190281150452,11
-45.5,185.5,-0.09248903104951664,0.8762696636277617,11
-45.5,186.5,-0.8081051386071672,0.2104977000553373,10
-45.5,187.5,0.27443181818181817,0.5334165134726944,11
-45.5,191.5,0.47013781118958,0.11475673431864909,12
-45.5,192.5,0.6635454403349594,0.011174811327380355,12
-45.5,195.5,-0.008680555555555433,1.0,11
-44.5,78.5,-0.08203124999999978,1.0,10
-44.5,172.5,0.24105890603085567,0.7205147871362552,10
-44.5,174.5,0.23122690247922345,0.35020138917929566,11
-44.5,175.5,-0.19370404411764697,0.5915050369949166,10
-44.5,179.5,-0.36820913461538485,0.37109336952269756,10
-44.5,180.5,-0.4141746411483255,0.28313087066234666,10
-44.5,181.5,-0.20589519693600078,0.7554968749288828,11
-44.5,182.5,-0.2041793422081583,0.7603323075218761,13
-44.5,183.5,-0.08451338268461672,0.8547770980655479,13
-44.5,184.5,0.176480313916227,0.4277105102974643,13
-44.5,185.5,-0.106288383408919,0.5829505577618919,13
-44.5,186.5,-0.9670102415966388,0.04296014602842502,11
-44.5,187.5,-1.428540409755616,0.28313087066234666,10
-44.5,188.5,-0.6311586168077261,0.4742743507673295,10
-44.5,192.5,0.07368421052631646,0.8762696636277617,11
-44.5,194.5,1.6840307617187502,0.04909798160926558,10
-43.5,75.5,0.2594357918606038,0.5915050369949166,10
-43.5,76.5,1.4283854166666665,0.04909798160926558,10
-43.5,77.5,0.372958754208754,0.4362749288405292,11
-43.5,79.5,-0.17857142857142874,0.8580276569875211,10
-43.5,83.5,0.7775905501089324,0.28313087066234666,10
-43.5,169.5,1.352625597164432,0.4742743507673295,10
-43.5,170.5,-0.6961722883597885,0.7317017232242102,12
-43.5,171.5,-0.027131422189128784,1.0,10
-43.5,172.5,0.32731506249004017,0.37109336952269756,10
-43.5,174.5,0.30537790599928744,0.7554968749288828,11
-43.5,175.5,-0.23343548765424138,0.3726914904715183,12
-43.5,176.5,0.03883559232529465,0.8762696636277617,11
-43.5,179.5,-0.07435897435897587,0.8762696636277617,11
-43.5,180.5,-0.17163461538461533,0.16112494928905186,11
-43.5,181.5,-0.27854790502137233,0.4434214028640827,14
-43.5,182.5,0.0030361429410667995,1.0,14
-43.5,183.5,0.09673940273379211,0.7317017232242102,12
-43.5,184.5,-0.16421186659071196,0.7554968749288828,11
-43.5,185.5,-0.07079750705877687,0.9513521309544037,13
-43.5,186.5,0.10620387659851696,0.9513521309544037,13
-43.5,187.5,0.5327208167903466,0.08647112777407255,12
-43.5,188.5,0.29035548383414017,0.7317017232242102,12
-43.5,192.5,0.48919354843521196,0.4277105102974643,13
-43.5,193.5,0.4737991715054965,0.4506702853141802,12
-43.5,194.5,0.4448613906747584,0.1498607475130492,12
-43.5,195.5,-0.1345911270532844,0.6693340144640527,13
-43.5,196.5,0.04168823499719772,1.0,10
-43.5,197.5,-0.15625,0.8147826383183654,11
-43.5,198.5,0.007611352044182855,1.0,11
-43.5,199.5,0.23998550938206106,0.8580276569875211,10
-43.5,200.5,-0.04748221127531475,1.0,11
-43.5,201.5,-0.7886029411764701,0.15240628395674932,10
-43.5,202.5,0.07509428879310331,0.8580276569875211,10
-43.5,203.5,0.2521929824561405,0.5846479572713805,11
-42.5,58.5,-0.7119691309160646,0.37109336952269756,10
-42.5,59.5,0.5979544595616026,0.27575784782750934,11
-42.5,60.5,0.7497200781398893,0.04909798160926558,10
-42.5,61.5,0.25163152610441736,0.4742743507673295,10
-42.5,62.5,-0.2444444444444443,0.8762696636277617,11
-42.5,63.5,0.8920176803477585,0.03182312738649017,10
-42.5,65.5,-0.2862965838509317,0.7205147871362552,10
-42.5,67.5,0.07734065579810237,0.5915050369949166,10
-42.5,72.5,-0.22094080687830697,0.28313087066234666,10
-42.5,73.5,0.224609375,0.8762696636277617,11
-42.5,74.5,0.29147897897897906,0.2735614117247491,14
-42.5,75.5,0.23809523809523875,0.4884223166225936,15
-42.5,76.5,-0.22087573438616157,0.6312218204782533,12
-42.5,77.5,-0.21881012506012498,0.5371338571769023,12
-42.5,78.5,-0.53829942677307,0.15240628395674932,10
-42.5,79.5,0.34143518518518456,0.8762696636277617,11
-42.5,80.5,0.3702456371025576,0.7554968749288828,11
-42.5,81.5,0.3582434514637905,0.8762696636277617,11
-42.5,82.5,-0.7049180327868851,0.37109336952269756,10
-42.5,83.5,-0.027742329714254915,0.8580276569875211,10
-42.5,169.5,0.04419191919192045,1.0,11
-42.5,171.5,0.4985380116959068,0.640428787412791,11
-42.5,172.5,0.029418036852719154,1.0,13
-42.5,173.5,-1.2683873836891073,0.6312218204782533,12
-42.5,174.5,1.089080640063951,0.4742743507673295,10
-42.5,175.5,-0.0014356535976278609,1.0,12
-42.5,176.5,0.15721751122141742,1.0,10
-42.5,177.5,0.0708333333333333,0.7554968749288828,11
-42.5,178.5,-0.13212481962481987,0.7205147871362552,10
-42.5,179.5,-0.4238929924930106,0.2437222847721744,12
-42.5,180.5,-1.1095113053833696,0.11947098677170075,11
-42.5,181.5,0.10415003350440522,0.8370114751054462,12
