band_idx,TCEP_INTENSITY_MM_3H,band_label
0,14.343533487297922,0-15
0,12.97637910798122,0-15
0,12.369098407281001,0-15
0,15.244686447811448,0-15
0,17.17193257184967,0-15
0,18.72695,0-15
0,18.19152955003358,0-15
0,15.823647778493239,0-15
0,14.560320672478207,0-15
0,13.936495593571799,0-15
0,13.29802744425386,0-15
0,14.239009621765096,0-15
0,13.172064969604863,0-15
0,13.255528680027643,0-15
0,12.66466067285383,0-15
0,11.984641638225256,0-15
0,14.079446308724831,0-15
0,15.849792213473316,0-15
0,14.897825305535585,0-15
0,15.013536096256685,0-15
0,16.978956494325345,0-15
0,16.638692876344088,0-15
0,13.456056701030928,0-15
0,12.252284053156146,0-15
0,11.24921875,0-15
0,11.004166666666666,0-15
0,12.757227891156463,0-15
0,14.198062432723358,0-15
0,15.321787148594378,0-15
0,15.566844919786096,0-15
0,14.02355278093076,0-15
0,14.441213921901529,0-15
0,13.98545918367347,0-15
0,14.445879888268156,0-15
0,15.561060855263158,0-15
0,18.946074007220215,0-15
0,18.870662460567825,0-15
0,17.748493975903614,0-15
0,11.495481927710843,0-15
0,11.373355263157896,0-15
0,13.12171052631579,0-15
0,11.880514705882353,0-15
0,11.25,0-15
0,13.335648148148149,0-15
0,13.475609756097562,0-15
0,14.890046296296296,0-15
0,16.15059523809524,0-15
0,15.436746987951807,0-15
0,16.131944444444443,0-15
0,15.096507352941176,0-15
0,21.74113475177305,0-15
0,22.572541551246537,0-15
0,17.605978260869566,0-15
0,22.35485197368421,0-15
0,24.61402027027027,0-15
0,26.386186079545453,0-15
0,22.805311890838208,0-15
0,16.136971393034827,0-15
0,15.098979591836734,0-15
0,15.125494071146244,0-15
0,29.427304964539008,0-15
0,30.35645874263261,0-15
0,22.331930051813472,0-15
0,17.415646853146853,0-15
0,17.729,0-15
0,21.765470297029704,0-15
0,19.74612068965517,0-15
0,19.4222972972973,0-15
0,16.879310344827587,0-15
0,15.294296116504855,0-15
0,15.423513986013987,0-15
0,20.735119047619047,0-15
0,17.359097633136095,0-15
