SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,IS_INTERPOLATED_TIMESTEP,ROW
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.649998,194.15001,0.4375,0.14583333,False,2352741
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.649998,194.25,0.3125,0.104166664,False,2352742
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,192.65001,0.3125,0.104166664,False,2356326
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,192.75,0.375,0.125,False,2356327
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,192.85,0.375,0.125,False,2356328
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,192.95,0.375,0.125,False,2356329
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,193.05,0.5,0.16666667,False,2356330
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,193.35,0.3125,0.104166664,False,2356333
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,193.85,0.3125,0.104166664,False,2356338
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,193.95,0.6875,0.22916667,False,2356339
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,194.05,1.75,0.5833333,False,2356340
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,194.15001,0.625,0.20833333,False,2356341
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,194.25,0.375,0.125,False,2356342
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,194.45,0.3125,0.104166664,False,2356344
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.55,194.55,0.9375,0.3125,False,2356345
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,192.65001,0.3125,0.104166664,False,2359926
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,192.75,0.375,0.125,False,2359927
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,192.85,0.375,0.125,False,2359928
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,192.95,0.375,0.125,False,2359929
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,193.05,0.5,0.16666667,False,2359930
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,193.85,0.4375,0.14583333,False,2359938
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,193.95,0.6875,0.22916667,False,2359939
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.05,1.0,0.33333334,False,2359940
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.15001,0.5625,0.1875,False,2359941
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,24.45,194.25,0.4375,0.14583333,False,2359942
