SID,TIME,YEAR,BASIN,TC_LAT,TC_LON_360,GRID_LAT,GRID_LON,PRECIP_3H_MM,PRECIP_MMHR,ROW,IS_INTERPOLATED_TIMESTEP,POT99_MM_3H
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,23.05,193.35,10.625,3.5416667,2410333,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.05,11.4375,3.8125,2413920,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.15001,10.0625,3.3541667,2413921,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.25,14.9375,4.9791665,2413922,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.35,15.0,5.0,2413923,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.45,15.375,5.125,2413924,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.55,15.375,5.125,2413925,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.65001,16.0,5.3333335,2413926,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.75,13.0,4.3333335,2413927,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.85,14.5625,4.8541665,2413928,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,192.95,12.75,4.25,2413929,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,193.05,12.125,4.0416665,2413930,False,10.2351
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,193.15001,10.875,3.625,2413931,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.95,193.35,10.4375,3.4791667,2413933,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.05,12.8125,4.2708335,2417520,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.15001,13.625,4.5416665,2417521,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.25,14.625,4.875,2417522,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.35,14.5,4.8333335,2417523,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.45,13.4375,4.4791665,2417524,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.55,15.8125,5.2708335,2417525,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.65001,17.6875,5.8958335,2417526,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.75,17.5,5.8333335,2417527,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.85,14.25,4.75,2417528,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,192.95,13.5625,4.5208335,2417529,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.850002,193.05,10.3125,3.4375,2417530,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,191.95,12.1875,4.0625,2421119,False,9.038099
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.05,12.25,4.0833335,2421120,False,9.2775
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.15001,15.875,5.2916665,2421121,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.25,14.5,4.8333335,2421122,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.35,20.0625,6.6875,2421123,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.45,14.75,4.9166665,2421124,False,9.995701
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.55,16.75,5.5833335,2421125,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.65001,20.3125,6.7708335,2421126,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.75,20.8125,6.9375,2421127,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.85,14.375,4.7916665,2421128,False,9.516899
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,192.95,13.5,4.5,2421129,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.749996,193.05,12.875,4.2916665,2421130,False,9.7563
2018269N11220,2018-10-03 03:00:00+00:00,2018,EP,16.75,189.8,22.649998,191.85,10.0,3.3333333,2424718,False,8.7987
