year,domain,surface,band_idx,band_label,n_j,vol_j
2016,SH,ocean,2,15-20,129291,2582209.5
2016,SH,ocean,3,20-90,176067,3779098.8
2017,NH,land,0,0-15,27628,617336.5
2017,NH,land,1,15-25,52306,1254684.5
2017,NH,land,2,25-35,32352,1029749.8
2017,NH,land,3,35-90,15563,323003.38
2017,NH,ocean,0,0-15,368440,6425708.5
2017,NH,ocean,1,15-25,365588,7241370.5
2017,NH,ocean,2,25-35,237175,5277103.0
2017,NH,ocean,3,35-90,164597,2884042.0
2017,SH,land,0,0-10,5612,89511.94
2017,SH,land,1,10-15,4186,105691.5
2017,SH,land,2,15-20,11023,270477.3
2017,SH,land,3,20-90,17943,468016.25
2017,SH,ocean,0,0-10,48928,761703.56
2017,SH,ocean,1,10-15,124838,2146957.8
2017,SH,ocean,2,15-20,104129,1938289.0
2017,SH,ocean,3,20-90,153205,3300667.5
2018,NH,land,0,0-15,13137,306239.88
2018,NH,land,1,15-25,53935,1262915.5
2018,NH,land,2,25-35,27449,751274.25
2018,NH,land,3,35-90,51124,967440.0
2018,NH,ocean,0,0-15,512202,9270771.0
2018,NH,ocean,1,15-25,538207,10540764.0
2018,NH,ocean,2,25-35,262125,5881890.0
2018,NH,ocean,3,35-90,252078,4282905.0
2018,SH,land,0,0-10,2438,48805.188
2018,SH,land,1,10-15,5231,125309.0
2018,SH,land,2,15-20,18704,508094.0
2018,SH,land,3,20-90,15577,326559.8
2018,SH,ocean,0,0-10,84530,1446022.0
2018,SH,ocean,1,10-15,207634,3502352.5
2018,SH,ocean,2,15-20,266608,4880381.0
2018,SH,ocean,3,20-90,361340,7119319.5
2019,NH,land,0,0-15,14321,329873.62
2019,NH,land,1,15-25,41468,1002670.75
2019,NH,land,2,25-35,22429,617825.6
2019,NH,land,3,35-90,53650,963064.2
2019,NH,ocean,0,0-15,477172,8435676.0
2019,NH,ocean,1,15-25,505908,9831134.0
2019,NH,ocean,2,25-35,215862,5180275.0
2019,NH,ocean,3,35-90,252879,4228560.5
2019,SH,land,0,0-10,2015,31476.75
2019,SH,land,1,10-15,11306,258419.94
2019,SH,land,2,15-20,20551,483923.06
2019,SH,land,3,20-90,10874,288660.8
2019,SH,ocean,0,0-10,110254,1783328.0
2019,SH,ocean,1,10-15,267892,4589296.5
2019,SH,ocean,2,15-20,210147,3976507.5
2019,SH,ocean,3,20-90,201277,4202365.0
2020,NH,land,0,0-15,35475,799374.9
2020,NH,land,1,15-25,50739,1312283.0
2020,NH,land,2,25-35,30848,894147.25
2020,NH,land,3,35-90,65573,1175085.8
2020,NH,ocean,0,0-15,312288,5127646.0
2020,NH,ocean,1,15-25,380220,7047697.0
2020,NH,ocean,2,25-35,174718,3988358.8
2020,NH,ocean,3,35-90,175706,3228080.2
2020,SH,land,0,0-10,3471,56091.812
2020,SH,land,1,10-15,2849,67042.06
2020,SH,land,2,15-20,29064,706788.8
2020,SH,land,3,20-90,18943,398917.44
2020,SH,ocean,0,0-10,67379,1154584.5
2020,SH,ocean,1,10-15,196991,3339358.2
2020,SH,ocean,2,15-20,221276,4197963.0
2020,SH,ocean,3,20-90,302719,6182138.0
2021,NH,land,0,0-15,13584,342320.06
2021,NH,land,1,15-25,40231,1010852.75
2021,NH,land,2,25-35,10809,302387.84
2021,NH,land,3,35-90,20629,393373.25
2021,NH,ocean,0,0-15,402509,7273271.5
2021,NH,ocean,1,15-25,439880,8565071.0
2021,NH,ocean,2,25-35,212413,5090768.0
2021,NH,ocean,3,35-90,229546,4348546.0
2021,SH,land,0,0-10,602,9652.157
2021,SH,land,1,10-15,8504,183458.42
2021,SH,land,2,15-20,12399,324184.12
2021,SH,land,3,20-90,14897,296565.12
2021,SH,ocean,0,0-10,29502,445282.88
2021,SH,ocean,1,10-15,258406,4548465.5
2021,SH,ocean,2,15-20,218816,4402922.0
2021,SH,ocean,3,20-90,135154,2942146.0
2022,NH,land,0,0-15,22734,498416.47
2022,NH,land,1,15-25,36803,878833.3
2022,NH,land,2,25-35,13126,352168.12
2022,NH,land,3,35-90,33140,414186.47
2022,NH,ocean,0,0-15,274455,4588796.5
2022,NH,ocean,1,15-25,413409,7614143.5
2022,NH,ocean,2,25-35,214932,5047451.5
2022,NH,ocean,3,35-90,248027,3992512.5
2022,SH,land,0,0-10,149,3059.664
2022,SH,land,1,10-15,4744,122253.49
2022,SH,land,2,15-20,32955,757455.3
2022,SH,land,3,20-90,21112,512634.47
2022,SH,ocean,0,0-10,77836,1438268.6
2022,SH,ocean,1,10-15,229994,4247366.0
2022,SH,ocean,2,15-20,320501,6007489.5
2022,SH,ocean,3,20-90,289050,6128775.5
2023,NH,land,0,0-15,8001,170386.66
2023,NH,land,1,15-25,36966,860573.1
2023,NH,land,2,25-35,12998,397699.12
2023,NH,land,3,35-90,12496,220297.73
2023,NH,ocean,0,0-15,476041,8179707.5
2023,NH,ocean,1,15-25,618407,11208597.0
2023,NH,ocean,2,25-35,241428,5480056.5
2023,NH,ocean,3,35-90,165181,2987328.8
2023,SH,land,0,0-10,1099,18505.557
2023,SH,land,1,10-15,3669,80204.39
2023,SH,land,2,15-20,32253,776338.75
2023,SH,land,3,20-90,20237,461102.34
2023,SH,ocean,0,0-10,93824,1481633.6
2023,SH,ocean,1,10-15,181072,3254010.8
2023,SH,ocean,2,15-20,149412,3099305.8
2023,SH,ocean,3,20-90,148425,3435829.0
