domain,surface,band_idx,band_label,migration,intensity,residual,total
NH,land,0,0-15,-0.2624380014811876,-0.07051276302385212,0.008827420096037208,-0.32412334440900253
NH,land,1,15-25,-0.3329873357206713,-0.12241942468258057,-0.015428672144799122,-0.470835432548051
NH,land,2,25-35,0.17363451572021688,0.012247989555517228,0.06163742325364649,0.2475199285293806
NH,land,3,35-90,0.34034117821636145,-0.047540671364081605,-0.024767430384169314,0.26803307646811053
NH,ocean,0,0-15,-0.5330171682779701,0.044416877197900544,-0.0071718978050731505,-0.4957721888851427
NH,ocean,1,15-25,-0.08602983594021443,-0.0340008179786219,-0.023945143492119396,-0.14397579741095573
NH,ocean,2,25-35,0.30991916395869756,0.01571305088510467,-0.012530597810480777,0.31310161703332146
NH,ocean,3,35-90,0.34323816306403915,0.023409816820939868,0.007076276025400816,0.37372425591037983
SH,land,0,0-10,-0.04635576644133499,-0.006595960613766333,0.001969652726192197,-0.050982074328909124
SH,land,1,10-15,-0.5680003353052613,0.06556274309737306,0.008674764434821763,-0.49376282777306646
SH,land,2,15-20,0.6807746067115596,0.04053273923334568,-0.012924045955113782,0.7083832999897915
SH,land,3,20-90,0.11367600451695092,0.0004604176678496477,-0.13195622721562644,-0.017819805030825867
SH,ocean,0,0-10,-0.07259402096602435,-0.016101833558980694,0.008216425948829587,-0.08047942857617546
SH,ocean,1,10-15,-0.3841171213880734,0.007368941914305945,0.04628930776654248,-0.330458871707225
SH,ocean,2,15-20,-0.05087961832363307,0.0017346452515704439,-0.03956177183669028,-0.08870674490875291
SH,ocean,3,20-90,0.613467375727537,-0.0646835039845182,0.007416794410083402,0.5562006661531022
