domain,surface,year,N_t,TCP_mean,fit,fit_lower,fit_upper,trend_per_decade,p_value
NH,land,1980,102924.0,24.330999961136374,24.40512613690492,23.48912661922892,25.06645522629603,-0.2222240907787035,0.17856166166885756
NH,land,1981,116537.0,22.418372534044984,24.38290372782705,23.499049871361088,25.03703419671367,-0.2222240907787035,0.17856166166885756
NH,land,1982,87818.0,22.750111025074588,24.36068131874918,23.499447135013213,24.98897226482505,-0.2222240907787035,0.17856166166885756
NH,land,1983,86393.0,24.88201023231049,24.338458909671303,23.499595067653114,24.952381682169285,-0.2222240907787035,0.17856166166885756
NH,land,1984,91886.0,23.824624099427552,24.316236500593433,23.50278470782081,24.911115791171422,-0.2222240907787035,0.17856166166885756
NH,land,1985,161116.0,22.325855594726782,24.294014091515564,23.508911265279576,24.849012828599808,-0.2222240907787035,0.17856166166885756
NH,land,1986,91369.0,23.481309306219835,24.271791682437694,23.51537662314342,24.793870772828154,-0.2222240907787035,0.17856166166885756
NH,land,1987,106202.0,23.92860351029171,24.249569273359825,23.52272414360357,24.75550741845281,-0.2222240907787035,0.17856166166885756
NH,land,1988,118792.0,25.02985996531753,24.227346864281955,23.530006528736948,24.713433072839358,-0.2222240907787035,0.17856166166885756
NH,land,1989,134982.0,23.756308693010922,24.205124455204086,23.53667886829792,24.668241923688207,-0.2222240907787035,0.17856166166885756
NH,land,1990,128741.0,24.84187741279002,24.182902046126216,23.54062148702339,24.624657038780207,-0.2222240907787035,0.17856166166885756
NH,land,1991,93501.0,25.000469299793586,24.16067963704834,23.54649677213514,24.58524432662203,-0.2222240907787035,0.17856166166885756
NH,land,1992,114595.0,24.134684759369957,24.13845722797047,23.544524618722644,24.54391220968389,-0.2222240907787035,0.17856166166885756
NH,land,1993,108475.0,24.137957593915647,24.1162348188926,23.535010345212005,24.513128081351557,-0.2222240907787035,0.17856166166885756
NH,land,1994,130157.0,24.166531035595472,24.09401240981473,23.527547298776007,24.478013662887058,-0.2222240907787035,0.17856166166885756
NH,land,1995,154426.0,24.141896830844544,24.07179000073686,23.515005735796016,24.43672565014608,-0.2222240907787035,0.17856166166885756
NH,land,1996,189838.0,24.09900020017067,24.04956759165899,23.51524149934824,24.416170783578966,-0.2222240907787035,0.17856166166885756
NH,land,1997,131336.0,24.947965828105012,24.027345182581122,23.509882842426034,24.388640611753864,-0.2222240907787035,0.17856166166885756
NH,land,1998,119466.0,27.754271005976594,24.005122773503253,23.5010855420556,24.346250228918834,-0.2222240907787035,0.17856166166885756
NH,land,1999,115106.0,24.667735217973,23.982900364425383,23.492806396781493,24.319045048775582,-0.2222240907787035,0.17856166166885756
NH,land,2000,90149.0,24.227937525651974,23.960677955347506,23.470587746703686,24.29359718153501,-0.2222240907787035,0.17856166166885756
NH,land,2001,83231.0,25.369387367687523,23.938455546269637,23.44836533762583,24.27012075254482,-0.2222240907787035,0.17856166166885756
NH,land,2002,85182.0,22.565287032471648,23.916233137191767,23.426142928547954,24.250240716796963,-0.2222240907787035,0.17856166166885756
NH,land,2003,89893.0,25.638575528684104,23.894010728113898,23.403861114382327,24.24152552284274,-0.2222240907787035,0.17856166166885756
NH,land,2004,166412.0,23.801227195154194,23.87178831903603,23.3816981103922,24.23767207924368,-0.2222240907787035,0.17856166166885756
NH,land,2005,164779.0,25.44677901917113,23.84956590995816,23.35932528692097,24.22261468092289,-0.2222240907787035,0.17856166166885756
NH,land,2006,112978.0,23.831115969480788,23.82734350088029,23.33615851588178,24.230754350254244,-0.2222240907787035,0.17856166166885756
NH,land,2007,116863.0,23.887053815151074,23.80512109180242,23.298509885514743,24.208531941176375,-0.2222240907787035,0.17856166166885756
NH,land,2008,135510.0,24.45195269721792,23.78289868272455,23.2687903564318,24.199201438163172,-0.2222240907787035,0.17856166166885756
NH,land,2009,78365.0,25.94596203662349,23.760676273646673,23.239307537884294,24.19444049098857,-0.2222240907787035,0.17856166166885756
NH,land,2010,113169.0,22.709053097579726,23.738453864568804,23.204427888471546,24.201571333052932,-0.2222240907787035,0.17856166166885756
NH,land,2011,166055.0,20.865988136460814,23.716231455490934,23.15953268291143,24.179348923975063,-0.2222240907787035,0.17856166166885756
NH,land,2012,130471.0,21.903624406956332,23.694009046413065,23.112092643289095,24.182290054818303,-0.2222240907787035,0.17856166166885756
NH,land,2013,160634.0,23.183218621213438,23.671786637335195,23.08782181057901,24.1945560098035,-0.2222240907787035,0.17856166166885756
NH,land,2014,103177.0,23.10995939017417,23.649564228257326,23.036828020738845,24.18865471597851,-0.2222240907787035,0.17856166166885756
NH,land,2015,94159.0,24.47161652099109,23.627341819179456,22.987732374751506,24.194763085742096,-0.2222240907787035,0.17856166166885756
NH,land,2016,130593.0,22.304366849678008,23.605119410101587,22.94198841873915,24.18906160779895,-0.2222240907787035,0.17856166166885756
NH,land,2017,127849.0,25.223303897566662,23.582897001023717,22.89090497613331,24.192933401067958,-0.2222240907787035,0.17856166166885756
NH,land,2018,145645.0,22.57454516117958,23.56067459194584,22.837445410673155,24.19846778942595,-0.2222240907787035,0.17856166166885756
NH,land,2019,131868.0,22.093564549397883,23.53845218286797,22.788643232702647,24.192979898585854,-0.2222240907787035,0.17856166166885756
NH,land,2020,182635.0,22.89205765598051,23.5162297737901,22.740168895387406,24.19237571782357,-0.2222240907787035,0.17856166166885756
NH,land,2021,85253.0,24.033569493155664,23.494007364712232,22.696164495132187,24.178874091789716,-0.2222240907787035,0.17856166166885756
NH,land,2022,105803.0,20.260336285360527,23.471784955634362,22.65795652571759,24.1612202116296,-0.2222240907787035,0.17856166166885756
NH,land,2023,70461.0,23.402401470316914,23.449562546556493,22.61191051107414,24.173178867195652,-0.2222240907787035,0.17856166166885756
NH,ocean,1980,1274785.0,18.4329031954408,18.977054115372525,18.60656860565163,19.738681440039358,0.0809092571730728,0.22101797270992485
NH,ocean,1981,1553180.0,19.07320110998081,18.98514504108983,18.63015488514601,19.731215346681292,0.0809092571730728,0.22101797270992485
NH,ocean,1982,1190894.0,19.022792120877256,18.99323596680714,18.657735789883212,19.731416675929264,0.0809092571730728,0.22101797270992485
NH,ocean,1983,925276.0,20.723817109705646,19.001326892524446,18.68954273689155,19.72533189200413,0.0809092571730728,0.22101797270992485
NH,ocean,1984,1399760.0,19.07702284677373,19.00941781824175,18.715391727088473,19.7190416540165,0.0809092571730728,0.22101797270992485
NH,ocean,1985,1388038.0,19.616146459967236,19.017508743959063,18.74350953052925,19.71166245202038,0.0809092571730728,0.22101797270992485
NH,ocean,1986,1792285.0,18.99602239599171,19.025599669676367,18.77147682232014,19.710984802784658,0.0809092571730728,0.22101797270992485
NH,ocean,1987,1473956.0,18.714489849086405,19.033690595393672,18.792588147342148,19.708707075079268,0.0809092571730728,0.22101797270992485
NH,ocean,1988,1556032.0,18.645106591638218,19.041781521110984,18.81184911419339,19.693643205836256,0.0809092571730728,0.22101797270992485
