domain,year,N_t,TCP_mean,fit,fit_lower,fit_upper,trend_per_decade,p_value
WP,1980,2151.0,19.23887383171977,18.537207716819577,17.85997015847178,19.721077591707292,0.24042951635966245,0.036290965357690864
WP,1981,2193.0,18.59075457573878,18.561250668455546,17.905783487469126,19.722268325782416,0.24042951635966245,0.036290965357690864
WP,1982,2172.0,18.555789712808274,18.58529362009151,17.953280925066505,19.739300358796438,0.24042951635966245,0.036290965357690864
WP,1983,1803.0,17.709414958129724,18.60933657172748,18.000833778564484,19.734275581383088,0.24042951635966245,0.036290965357690864
WP,1984,2118.0,18.743020823275963,18.63337952336344,18.05460957162463,19.7371266059275,0.24042951635966245,0.036290965357690864
WP,1985,2548.0,18.694845596087383,18.65742247499941,18.110585685167358,19.74387425414674,0.24042951635966245,0.036290965357690864
WP,1986,2910.0,18.34458945704476,18.681465426635373,18.159602433137696,19.747002377012752,0.24042951635966245,0.036290965357690864
WP,1987,2113.0,18.228502060158842,18.705508378271343,18.204645844918698,19.726302284430506,0.24042951635966245,0.036290965357690864
WP,1988,1805.0,19.496922396304406,18.729551329907306,18.23855386718821,19.737455452904136,0.24042951635966245,0.036290965357690864
WP,1989,2427.0,18.41898484248828,18.753594281543275,18.2796543067753,19.729883951469706,0.24042951635966245,0.036290965357690864
WP,1990,2688.0,18.5568947197435,18.777637233179238,18.31931285541885,19.74891307321528,0.24042951635966245,0.036290965357690864
WP,1991,2594.0,18.56965267206894,18.801680184815208,18.352776933068778,19.758171402919352,0.24042951635966245,0.036290965357690864
WP,1992,2782.0,18.209094114592627,18.82572313645117,18.38933250111319,19.779312759129187,0.24042951635966245,0.036290965357690864
WP,1993,2685.0,17.39315225069018,18.84976608808714,18.423560473489793,19.78742278932439,0.24042951635966245,0.036290965357690864
WP,1994,3336.0,18.15424503276473,18.873809039723103,18.468387748242826,19.788375216629134,0.24042951635966245,0.036290965357690864
WP,1995,2196.0,17.704651867574125,18.897851991359072,18.500306726063116,19.77804598774701,0.24042951635966245,0.036290965357690864
WP,1996,3007.0,18.24562414602566,18.921894942995035,18.53751186018402,19.803620556619677,0.24042951635966245,0.036290965357690864
WP,1997,2827.0,17.534402791713514,18.945937894631005,18.563884013779017,19.826782864141602,0.24042951635966245,0.036290965357690864
WP,1998,1205.0,20.149206641172594,18.969980846266967,18.587524793270315,19.83421595009009,0.24042951635966245,0.036290965357690864
WP,1999,1533.0,20.16519108097281,18.994023797902937,18.614115073332705,19.87107927386516,0.24042951635966245,0.036290965357690864
WP,2000,1811.0,20.349310596336775,19.0180667495389,18.64150518416547,19.907794675600027,0.24042951635966245,0.036290965357690864
WP,2001,2055.0,20.6425430593489,19.04210970117487,18.66639655068604,19.915638100101535,0.24042951635966245,0.036290965357690864
WP,2002,1941.0,19.145073192940455,19.066152652810832,18.695465503418067,19.929068620832485,0.24042951635966245,0.036290965357690864
WP,2003,1845.0,20.376179948090968,19.0901956044468,18.722141439010862,19.94116089483105,0.24042951635966245,0.036290965357690864
